algorithm,time_seconds,n_clusters_predicted,adjusted_rand_index,normalized_mutual_info,fowlkes_mallows_index,v_measure,purity,inverse_purity,f1_score,accuracy_optimal_match,n_samples,n_clusters_reference,adjusted_mutual_info,homogeneity,completeness,efficiency
mean_shift_q=0.10,69.55313324928284,7539,0.34636969666818057,0.8563185782897065,0.40833445074413893,0.8563185782897066,0.9288303617666642,0.4621587630391359,0.3486261647030542,0.45024783605829694,13517,1799,0.5521928121510906,0.9694961825321773,0.7668030784752458,0.004909345350324344
mean_shift_q=0.20,74.41204071044922,6796,0.372231095098585,0.865637269029602,0.42359515283164123,0.865637269029602,0.9182510912184656,0.5163867722127691,0.3746423137160916,0.5030702078863654,13517,1799,0.6074126801207421,0.9629725248345028,0.7861725828755101,0.004935963694813633
mean_shift_q=0.30,66.40826845169067,6632,0.37685059166919116,0.8667967248937123,0.4251478313593878,0.8667967248937124,0.9116667899681882,0.5276318709772878,0.3793113720592308,0.5089147000073981,13517,1799,0.6170350606380689,0.9598328240775511,0.7902027783085712,0.0055905692331982655
mean_shift_q=0.40,74.91188788414001,6572,0.3804079584181946,0.8673871741891536,0.42765786746778633,0.8673871741891536,0.9103351335355478,0.5311829547976622,0.38288237316848356,0.512243841088999,13517,1799,0.620817413891873,0.9589700539972041,0.7917719312398291,0.00501117768272065
mean_shift_q=0.50,67.18459463119507,6550,0.3812980499718904,0.8676456453509857,0.4282502593397718,0.8676456453509855,0.9098172671450766,0.5328845157949249,0.38377653562626607,0.513353554782866,13517,1799,0.6223060373182725,0.9587130288096907,0.7923782677470183,0.005592143680464782
mean_shift_q=0.60,59.69629645347595,6541,0.381640594651838,0.8677321079162231,0.4285022225231356,0.8677321079162231,0.9095213434933787,0.5331804394466227,0.38412018344296694,0.5136494784345639,13517,1799,0.6228599619648841,0.9585880504465091,0.7926079287736174,0.006287708096726588
mean_shift_q=0.70,58.943339109420776,6529,0.38264683528354326,0.8678981150814264,0.42885944485307664,0.8678981150814266,0.9092254198416808,0.5339202485758674,0.38513706508142703,0.5140193829991863,13517,1799,0.6240415627265976,0.9582178140138828,0.7931384660556767,0.0063834754781521
mean_shift_q=0.80,57.72430205345154,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.006517268489486705
mean_shift_q=0.90,56.19229173660278,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.006691846605879563
dbscan_eps=1.56,33.168094873428345,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.011201152559362982
dbscan_eps=2.61,33.520015001297,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.011086960516259316
dbscan_eps=3.67,33.544762134552,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.011079018053427465
dbscan_eps=4.72,33.41265797615051,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.011121548460607209
dbscan_eps=5.78,33.88776183128357,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.010970094475847843
dbscan_eps=6.83,34.07790279388428,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.01091063070642825
dbscan_eps=7.89,34.5852792263031,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.01075506646740508
dbscan_eps=8.94,34.81048274040222,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.010687430440815118
dbscan_eps=10.00,34.93975567817688,6523,0.3827220433400591,0.8678636809343997,0.4287520166192175,0.8678636809343996,0.9088555152770585,0.5344381149663386,0.3852156803125475,0.5141673448250351,13517,1799,0.6242332172764157,0.9579619042246966,0.7932563433804309,0.010648988456325352
leiden_gamma=0.50,35.0949592590332,6674,0.31058150070280083,0.8555149917472079,0.3814537272838479,0.855514991747208,0.909891248058001,0.4407782792039654,0.31270305354278377,0.4289413331360509,13517,1799,0.5653976326460649,0.9610898558153788,0.7708390131774338,0.008604567149499526
